case_id,B,K,M,N,dependency_count,node_id,output_elements,real_macs
hs_n20,1,2,2,2,2,contract_118,4,32
hs_n20,1,2,2,8,1,contract_119,16,128
hs_n20,1,2,2,2,2,contract_120,4,32
hs_n20,1,2,2,8,1,contract_121,16,128
hs_n20,1,2,2,2,2,contract_122,4,32
hs_n20,1,2,2,8,1,contract_123,16,128
hs_n20,1,2,2,2,2,contract_124,4,32
hs_n20,1,2,2,8,1,contract_125,16,128
hs_n20,1,2,2,2,2,contract_126,4,32
hs_n20,1,2,2,8,1,contract_127,16,128
hs_n20,1,2,2,2,2,contract_128,4,32
hs_n20,1,2,2,8,1,contract_129,16,128
hs_n20,1,2,2,2,2,contract_130,4,32
hs_n20,1,4,4,1,2,contract_131,4,64
hs_n20,1,2,2,2,2,contract_132,4,32
hs_n20,1,4,4,1,2,contract_133,4,64
hs_n20,1,2,2,2,2,contract_134,4,32
