view,case_id,point,cell_id,median_prepared_call_s,raw_mad,count
T,xor_n18,T21,cell-4beec54b29b444e97cdc9a1377dd126a57897e347eb49a4cb491be3375ba2ddc,4.678313003969379,0.0692313690087758,5
T,xor_n18,T22,cell-0ae24cb9e66533bae6a08c5ae50ea3cf02753a53c9ecd7f0681a14b53b4829c6,4.730827154999133,0.06925853103166446,5
T,xor_n18,T23,cell-34284688b80c47b55062fa1942dd12f58487e4ef12a9db56c89dffa2ecc6ac32,4.672113791981246,0.17113188200164586,5
T,xor_n18,T24,cell-d263b391cc9f15219412e6088b49c29df920bc1f09bbcd245e83617c722665d6,4.749858674011193,0.020142669032793492,5
T,stress_n16_l2,T1,cell-d5352eb09b2f248b087bf407ec80aa3ae312f1383d1581420f65c30fd7fcaf6c,7.779855905973818,0.01579277595737949,5
T,stress_n16_l2,T2,cell-e37e2cb8a73bdaa895334c8676e52c7bd37a95c2fba62ff8381361a48d780211,4.736826584034134,0.001319186994805932,5
T,stress_n16_l2,T3,cell-05673e17d0b831dbc1ab6ae6dcd2b400d572e3f7bf3d6318d6b4ac8b04461d2a,3.992260018014349,0.012699307990260422,5
T,stress_n16_l2,T4,cell-93f0ac2d0c7d595135224a9fb698d1efd2bbee3ecf1f798835163dbe5f1cb723,3.1703557929722592,0.01757198793347925,5
T,stress_n16_l2,T5,cell-40197b961b22ab99e9a2cc528636e7412f68fb7ba620a55c5211547636731274,3.1665602450375445,0.010233050037641078,5
T,stress_n16_l2,T6,cell-b4aee059b59b4324af2aca639936dcc8b0e7e031c75ade18bd6542347c7ab992,2.8681693029939197,0.03453530604019761,5
T,stress_n16_l2,T7,cell-49f1100891847b4189062a715bc25fa7777ac0c6c1bb350e6410cbacbfc75f93,2.877172381966375,0.01793520397040993,5
T,stress_n16_l2,T8,cell-7060fe51fb130b16fa0f359cc73cdacec7ac5f36ab289c64ffb2c69159a9bd8d,2.4669256979832426,0.009758495027199388,5
T,stress_n16_l2,T9,cell-5e36407afd180f2af94b961520c5841e27d12782a9dc95640663496e1338f85d,2.5126206100103445,0.04289657698245719,5
T,stress_n16_l2,T10,cell-147d732ef83723f0563fe6520b8d743d477f72bbbd09029550b06bdffa9b5b4e,2.4180803999770433,0.03579139697831124,5
T,stress_n16_l2,T11,cell-a3b9126c9a86bf24825a8dc887a9cf5a6703ca755c915bc31d62f92dc136a06c,2.464873156044632,0.022852669935673475,5
T,stress_n16_l2,T12,cell-bef8fcceaeff1d83b6048aaaa46291e21e21e55d55be5ec858b2f5c168c3af69,2.452536577999126,0.02192486502462998,5
