case_id,family,cohort,role,view,blocks,selection_family,binding
stress_n18_l2,stress,supplementary,upmem_f32,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n18_l2,stress,supplementary,upmem_int8,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n18_l2,stress,supplementary,quest32_p8,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n18_l2,stress,supplementary,quest32_p1,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
stress_n18_l2,stress,supplementary,numpy_f32_p1,S,"[0,1,2,3,4,5]",stress,after_selection_and_R_seal
xor_n08,xor,primary,upmem_f32,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n08,xor,primary,upmem_int8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n08,xor,primary,quest32_p8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n08,xor,primary,quest32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n08,xor,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n12,xor,primary,upmem_f32,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n12,xor,primary,upmem_int8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n12,xor,primary,quest32_p8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n12,xor,primary,quest32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n12,xor,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n16,xor,primary,upmem_f32,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n16,xor,primary,upmem_int8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n16,xor,primary,quest32_p8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n16,xor,primary,quest32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n16,xor,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n18,xor,primary,upmem_f32,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n18,xor,primary,upmem_int8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n18,xor,primary,quest32_p8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n18,xor,primary,quest32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n18,xor,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n20,xor,primary,upmem_f32,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n20,xor,primary,upmem_int8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n20,xor,primary,quest32_p8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n20,xor,primary,quest32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n20,xor,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n22,xor,primary,upmem_f32,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n22,xor,primary,upmem_int8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n22,xor,primary,quest32_p8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n22,xor,primary,quest32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n22,xor,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n24,xor,primary,upmem_f32,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n24,xor,primary,upmem_int8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n24,xor,primary,quest32_p8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n24,xor,primary,quest32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n24,xor,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n26,xor,primary,upmem_f32,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n26,xor,primary,upmem_int8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n26,xor,primary,quest32_p8,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n26,xor,primary,quest32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
xor_n26,xor,primary,numpy_f32_p1,W,"[0,1,2,3,4,5]",xor,after_selection_and_R_seal
